canton,mes,anio,produccion,area
Alvarado,febrero,2012,44.91,1155.6
Alvarado,marzo,2012,11.21,254.8
Alvarado,abril,2012,73.59,2332.7200000000003
Alvarado,mayo,2012,76.84,1760.8
Alvarado,junio,2012,51.39,1409.05
Alvarado,julio,2012,130.28,3275.57
Alvarado,agosto,2012,71.07,2008.4099999999999
Alvarado,septiembre,2012,44.5,1038.6
Alvarado,octubre,2012,45.1,1122.6
Alvarado,noviembre,2012,27.7,736.9
Alvarado,diciembre,2012,42.14,1212.0
Turrialba,enero,2013,17.15,346.1
Turrialba,febrero,2013,,
Turrialba,marzo,2013,,
Turrialba,abril,2013,,
Turrialba,mayo,2013,,
Turrialba,junio,2013,,
Turrialba,julio,2013,1.925,53.95
Turrialba,agosto,2013,,
Turrialba,septiembre,2013,8.8,202.9
Turrialba,octubre,2013,,
Turrialba,noviembre,2013,5.6,132.5
Turrialba,diciembre,2013,6.37,104.0986
Oreamuno,enero,2013,36.38,839.9
Oreamuno,febrero,2013,49.69,1128.3
Oreamuno,marzo,2013,71.75,1702.0
Oreamuno,abril,2013,54.43,1401.8
Oreamuno,mayo,2013,61.949999999999996,1512.99
Oreamuno,junio,2013,12.6,231.0
Oreamuno,julio,2013,13.125,485.98
Oreamuno,agosto,2013,55.849999999999994,1408.5900000000001
Oreamuno,septiembre,2013,18.6,488.0
Oreamuno,octubre,2013,74.9,1682.0
Oreamuno,noviembre,2013,34.8,654.64
Oreamuno,diciembre,2013,68.85,1503.13
El Guarco,enero,2013,,
El Guarco,febrero,2013,,
El Guarco,marzo,2013,,
El Guarco,abril,2013,,
El Guarco,mayo,2013,,
El Guarco,junio,2013,1.4,31.51
El Guarco,julio,2013,0.175,3.735
El Guarco,agosto,2013,,
El Guarco,septiembre,2013,5.8,95.6
El Guarco,octubre,2013,0.9,18.6
El Guarco,noviembre,2013,,
El Guarco,diciembre,2013,14.0,498.0
Cartago,enero,2013,73.42,1650.9
Cartago,febrero,2013,46.3,1120.4
Cartago,marzo,2013,27.87,690.0
Cartago,abril,2013,35.39,896.5999999999999
Cartago,mayo,2013,45.24,1099.1
Cartago,junio,2013,38.15,872.3
Cartago,julio,2013,6.65,597.4300000000001
Cartago,agosto,2013,65.7,1525.9
Cartago,septiembre,2013,100.5,2285.6
Cartago,octubre,2013,35.2,834.35
Cartago,noviembre,2013,19.75,374.9525
Cartago,diciembre,2013,61.7,1084.6025
Alvarado,enero,2013,64.45,1454.1
Alvarado,febrero,2013,59.27,1504.3
Alvarado,marzo,2013,6.13,188.4
Alvarado,abril,2013,,
Alvarado,mayo,2013,6.65,190.94
Alvarado,junio,2013,11.2,314.6
Alvarado,julio,2013,20.888,444.14
Alvarado,agosto,2013,82.54,2276.73
Alvarado,septiembre,2013,47.1,1300.5
Alvarado,octubre,2013,57.74,1539.1078
Alvarado,noviembre,2013,47.13,1060.4406
Alvarado,diciembre,2013,67.46000000000001,1171.5367
Turrialba,enero,2014,11.8,249.0
Turrialba,febrero,2014,17.0,332.0
Turrialba,marzo,2014,,
Turrialba,abril,2014,5.424999999999999,199.2
Turrialba,mayo,2014,4.55,124.5
Turrialba,junio,2014,5.249999999999999,149.4
Turrialba,julio,2014,5.6,142.76
Turrialba,agosto,2014,13.0,328.0
Turrialba,septiembre,2014,13.0,328.0
Turrialba,octubre,2014,2.17,51.46
Turrialba,noviembre,2014,12.95,298.159
Turrialba,diciembre,2014,19.25,471.855
Oreamuno,enero,2014,71.5,893.1
Oreamuno,febrero,2014,131.3,1539.2
Oreamuno,marzo,2014,127.65,2942.6925
